IPK,Semester,Jurusan,Pernah_Mengulang,Pendapatan_Orang_Tua,Pekerjaan_Orang_Tua,Jumlah_Tanggungan,Status_Tempat_Tinggal,Asal_Daerah,Aktif_Organisasi,Jumlah_Kegiatan_Relawan,Pengalaman_Magang,Skor_Motivasi_Tertulis,Surat_Rekomendasi,Pernah_Mendapat_Beasiswa,Skor_Keaktifan_Kampus,Rekam_Ketidakhadiran,Pernah_Melawan_Hukum,Jenis_Kelamin,Skor_Literasi_Finansial,Status_Kelayakan,Jumlah_Beasiswa_Per_Semester
3.53,6,Sastra,Tidak,9103633,Karyawan Swasta,4,Milik Sendiri,Perkotaan,Tidak,2,Tidak,73,Tidak,Tidak,52,18,Tidak,Laki-laki,2,Tidak Layak,0
3.1,5,Ekonomi,Tidak,3791551,Pegawai Negeri,2,Kontrak,Pedesaan,Ya,4,Tidak,93,Tidak,Tidak,98,15,Tidak,Perempuan,58,Tidak Layak,0
3.54,3,Pendidikan,Ya,9669525,Karyawan Swasta,2,Menumpang,Perkotaan,Tidak,4,Ya,54,Ada,Ya,76,4,Tidak,Laki-laki,8,Tidak Layak,0
3.33,3,Teknik Informatika,Tidak,8150572,Pegawai Negeri,1,Menumpang,Perkotaan,Tidak,3,Tidak,51,Ada,Tidak,50,0,Tidak,Perempuan,68,Tidak Layak,0
3.15,5,Teknik Informatika,Tidak,7723819,Tidak Bekerja,2,Milik Sendiri,Perkotaan,Ya,1,Ya,83,Tidak,Tidak,67,12,Tidak,Perempuan,58,Tidak Layak,0
3.68,4,Kedokteran,Tidak,1852527,Wirausaha,6,Milik Sendiri,3T,Ya,4,Tidak,90,Ada,Ya,55,15,Tidak,Perempuan,72,Layak,2799953
2.72,1,Kedokteran,Tidak,8477571,Pegawai Negeri,1,Milik Sendiri,Perkotaan,Ya,4,Tidak,52,Ada,Tidak,51,6,Tidak,Perempuan,9,Tidak Layak,0
2.36,5,Hukum,Tidak,7028964,Wirausaha,5,Kontrak,Pedesaan,Tidak,5,Tidak,82,Tidak,Ya,56,13,Tidak,Laki-laki,43,Tidak Layak,0
3.91,7,Pendidikan,Ya,5085666,Tidak Bekerja,4,Kontrak,Pedesaan,Ya,3,Tidak,93,Tidak,Ya,99,19,Tidak,Laki-laki,91,Layak,2616618
3.37,2,Sastra,Ya,3088336,Wirausaha,4,Kontrak,Pedesaan,Ya,2,Tidak,98,Tidak,Ya,58,2,Tidak,Perempuan,71,Layak,6653496
2.97,7,Manajemen,Ya,6437696,Buruh,1,Menumpang,Pedesaan,Ya,3,Ya,76,Tidak,Ya,96,17,Tidak,Laki-laki,73,Tidak Layak,0
3.03,3,Ekonomi,Ya,5011711,Pegawai Negeri,3,Kontrak,3T,Ya,2,Tidak,80,Ada,Tidak,66,7,Tidak,Perempuan,76,Layak,7172992
3.28,4,Pertanian,Ya,5611313,Petani,4,Kontrak,Perkotaan,Ya,2,Tidak,77,Ada,Tidak,70,19,Tidak,Laki-laki,61,Layak,4635560
3.66,3,Ekonomi,Tidak,5389688,Wirausaha,6,Menumpang,Pedesaan,Ya,1,Ya,67,Tidak,Tidak,57,18,Tidak,Laki-laki,87,Layak,6614566
3.01,1,Pertanian,Tidak,4017316,Karyawan Swasta,3,Menumpang,3T,Tidak,3,Tidak,58,Tidak,Ya,66,4,Tidak,Perempuan,9,Tidak Layak,0
3.32,8,Pertanian,Tidak,9465197,Buruh,6,Kontrak,Pedesaan,Tidak,2,Tidak,84,Ada,Ya,99,7,Tidak,Perempuan,21,Tidak Layak,0
3.79,1,Ekonomi,Tidak,6063269,Tidak Bekerja,4,Milik Sendiri,3T,Ya,4,Tidak,85,Ada,Tidak,73,12,Tidak,Laki-laki,44,Layak,2206046
2.93,8,Manajemen,Tidak,1940404,Petani,6,Milik Sendiri,Pedesaan,Ya,1,Tidak,72,Tidak,Ya,78,14,Tidak,Perempuan,5,Tidak Layak,0
3.18,2,Teknik Informatika,Tidak,2334801,Wirausaha,2,Menumpang,Pedesaan,Ya,1,Ya,77,Tidak,Ya,75,20,Tidak,Perempuan,50,Tidak Layak,0
